osm_id,velocity,business_id,ts
106822993,,0x8e3f9a9208564b6d:0x45747837bce92023,2026-07-15T14:22:53.872519
98152953,,0x6ad61567480f54f5:0x82d2f875ed00aa24,2026-07-15T14:22:54.320493
143925865,,0x8e3f9a9208564b6d:0x45747837bce92023,2026-07-15T14:22:54.530877
106675499,,0x47c6096121651147:0x636144de4098cbe3,2026-07-15T14:22:54.884064
34051906,,0x6ad65cbea4b71495:0x9c478a79c30aa1bc,2026-07-15T14:22:55.702734
34006896,,0x135aa3d031888199:0xe3c1b0aff90aafc8,2026-07-15T14:22:56.697268
178786887,,0x6ad66d4de9deb82d:0xf3ee347e2efcfe44,2026-07-15T14:22:58.987672
214964019,,0x6ad63a7b6af2e467:0x2d5b5bc72d267db9,2026-07-15T14:23:00.977706
194638984,,0x6ad66e51dcb4487b:0x527bf04e713282bf,2026-07-15T14:23:01.080268
219908896,,0x2a32798fbd0e2d35:0x112b3c6d5482c893,2026-07-15T14:23:01.601446
241367848,,0x8e3f9998f6af43db:0xf06c022c86e8e28f,2026-07-15T14:23:03.582656
243151934,,0x47c6098e306df4f3:0x1707ea5e560b77b8,2026-07-15T14:23:04.477021
241367921,,0x30da3008c6b213ed:0x8ed4ebed7ea3b33d,2026-07-15T14:23:04.686534
243794629,,0x6ad642b58ddc078b:0x1dfb1c754f461d0b,2026-07-15T14:23:06.810711
243645987,,0x47c6099570dc2bed:0xe7db9782a7d94f14,2026-07-15T14:23:07.583302
243445262,,0x6ad6431136281d7d:0xfd229706aeee5972,2026-07-15T14:23:08.031102
245806668,,0x6ad65d327fa2cd3b:0x87822cf7d76c81c5,2026-07-15T14:23:08.699363
247633178,,0x47c60954ef823f63:0x73738f27a7170b6f,2026-07-15T14:23:10.791844
248229930,,0x6ad6432041b2a371:0x9b52e0c14ceec436,2026-07-15T14:23:11.352185
247170132,,0x47c60971b2e1659b:0x18ccb72f4e2e5c2c,2026-07-15T14:23:11.673545
256993102,,0x6ad642d321509437:0x96445202b36d58b3,2026-07-15T14:23:13.956052
248969240,,0x47c609c1d36e8c23:0x2b17f39f55ca6f7b,2026-07-15T14:23:14.309186
249447239,,0x6ad667ffce0e7d31:0x74ffc7311c423f82,2026-07-15T14:23:16.035308
259141406,,0x47c6096121651147:0x636144de4098cbe3,2026-07-15T14:23:17.120190
258289357,,0x47c609eaa776ef15:0x3ec468058ef08173,2026-07-15T14:23:17.944068
258968886,,0x6ad667ffce0e7d31:0x74ffc7311c423f82,2026-07-15T14:23:20.489214
261560429,,0x47c609eaa776ef15:0x3ec468058ef08173,2026-07-15T14:23:22.137806
264605657,,0x6ad66ad2d0c5f4df:0x90e6ccec102a5021,2026-07-15T14:23:23.003178
266155502,,0x6ad623204edbdf13:0xd693b12f0495be0,2026-07-15T14:23:23.142048
266740556,,0x6ad6429262764cf9:0xff3046715c06f7ca,2026-07-15T14:23:25.699848
266740661,,0x6ad6428d1a03425f:0xa048a040f6ea543a,2026-07-15T14:23:27.360092
270652136,,0x6ad63f006ea34719:0x1601429245448c0f,2026-07-15T14:23:28.417982
268177215,,0x47c0bdb49bc43af5:0xc69256540d2972bf,2026-07-15T14:23:29.627608
279248794,,0x47c6098a734aadc7:0xaf75786216943dce,2026-07-15T14:23:29.861757
267464189,,0x47c609af4bc401cb:0x466851d2c8477e5f,2026-07-15T14:23:30.315684
279249060,,0x47c609f964421e93:0xbb574e765d0c5ef8,2026-07-15T14:23:31.550294
280435190,,0x47c608e4859ba04d:0xc16c456cf22a2b4d,2026-07-15T14:23:31.875531
281363834,,0x6ad65c7bbbc30f99:0xb4ac16fb675e28b,2026-07-15T14:23:34.422755
282599745,,0x47c60b70865c71e7:0xaf9c087c44748b3d,2026-07-15T14:23:34.806507
282825869,,0x47c609e388de0a99:0xe70279069a8c62f1,2026-07-15T14:23:35.961203
290901143,,0x6ad6174d7a8ac7dd:0xdf61ba0141970cfb,2026-07-15T14:23:36.555521
291549259,,0x47c609df8b40081f:0x42cb4a83c9fc642a,2026-07-15T14:23:36.570111
282825871,,0x48761cbaf731d95f:0xd9496473a4cc8c13,2026-07-15T14:23:38.140218
291725285,,0x47c5e21e38f434d5:0x3c91d573f01dd8a9,2026-07-15T14:23:40.319753
301497066,,0x8e3e3d3005234c97:0x9f81675a084f327c,2026-07-15T14:23:41.703404
298316236,,0x8e3f9a9208564b6d:0x45747837bce92023,2026-07-15T14:23:42.161693
299026704,,0x47c60b123863fb0f:0x21590f6860838994,2026-07-15T14:23:42.841249
301707220,,0x6ad642ded4a0db0b:0xe0845ae86d0b9061,2026-07-15T14:23:44.315507
34051906,,0x6ad65cbea4b71495:0x9c478a79c30aa1bc,2026-07-16T00:32:03.393499
