osm_id,osm_type,name,category,cuisine,lat,lon,address,suburb,website,opening_hours,rating,review_count,review_velocity_per_week,popularity_review,foot_monthly,foot_daily_avg,dwell_min,foot_source,popularity_foot,suburb_source,suburb_conf_km
9728609951,node,Crowded House,cafe,cafe;breakfast;brunch;lunch,-37.858918,144.8993079,48 Ferguson Street,Williamstown,https://m.facebook.com/Crowded-House-Cafe-Ferguson-Street-Williamstown-291901187518260/,Mo-Fr 07:00-15:00; Sa-Su 08:00-15:00,4.4,581,,51.1,,,,,,osm,0.0
9731508943,node,Parkwood Fish and Chips,fast_food,fish_and_chips,-37.7786272,145.2390888,16 Little John Road,Warranwood,,,4.1,70,,38.8,,,,,,osm,0.0
9731508944,node,Little John Pizza and Pasta,fast_food,pizza,-37.7786095,145.2391518,18 Little John Road,Warranwood,,,4.7,114,,43.7,,,,,,osm,0.0
9731738510,node,Mr. Eggette,restaurant,,-37.8071308,144.960286,59 Therry Street,Melbourne,,,,,,,,,,,,osm,0.0
9731738511,node,Daboba,cafe,bubble_tea,-37.8086427,144.9596031,155 Franklin Street,Melbourne,,,4.4,61,,39.3,,,,,,osm,0.0
9731738513,node,Xing Fu Tang,cafe,bubble_tea,-37.8121824,144.9620102,273 Elizabeth Street,Melbourne,,,4,589,,49.5,,,,,,nearest,0.008
9731738514,node,Ms PREtea,cafe,bubble_tea,-37.8122099,144.9619306,358 Lonsdale Street,Melbourne,https://www.mspretea.com.au/,,4.8,43,,39.1,,,,,,osm,0.0
9731738515,node,Mondo,ice_cream,,-37.8134434,144.9625889,215 Elizabeth Street,Melbourne,https://www.mondomelb.au/,Mo-Su 07:30-23:30,,,,,,,,,,osm,0.0
9731738516,node,Milksha,cafe,bubble_tea,-37.8149191,144.9637096,134 Elizabeth Street,Melbourne,https://milksha.com.au/,,4,487,,48.5,,,,,,osm,0.0
9731777217,node,Chatime,cafe,bubble_tea,-37.8171907,144.9647877,289 Flinders Lane,Melbourne,,,,,,,,,,,,osm,0.0
9748242971,node,Sambar,restaurant,brazilian,-37.8155378,144.9629855,353 Little Collins Street,Melbourne,https://bcosbrazilrestaurant.com.au/,,,,,,,,,,,osm,0.0
9748242972,node,Dodee Paidang,restaurant,thai,-37.8157693,144.96312,353 Little Collins Street,Melbourne,https://www.dodeepaidang.com/,"Mo-Th 12:00-15:00,17:00-22:00; Fr 12:00-15:00,17:00-23:00; Sa 12:00-23:00; Su 12:00-22:00",4.5,5638,,63.4,,,,,,nearest,0.028
9748242973,node,Decennium,restaurant,chinese,-37.8158252,144.9632436,,Melbourne,,,3.5,317,,44.3,,,,,,nearest,0.021
9750631005,node,McDonald's,fast_food,burger,-37.6158141,144.913854,,Craigieburn,,,,,,,,,,,,nearest,1.837
9768669168,node,Burgertory,fast_food,burger,-37.7795829,145.0162401,,Fairfield,,,,,,,,,,,,nearest,0.042
9771030877,node,Indioz Indian,restaurant,indian,-37.7441156,144.7972446,,St Albans,,,3.9,997,,51.9,,,,,,nearest,0.043
9771030883,node,Parachinar Juice Icecream Restaurant,restaurant,pakistani,-37.7441317,144.797668,,St Albans,,,,,,,,,,,,nearest,0.08
9771030885,node,Saigon Voice,restaurant,,-37.7441549,144.7978376,,St Albans,,,,,,,,,,,,nearest,0.095
9771030888,node,Co Thy Quan,restaurant,vietnamese,-37.7442064,144.7982207,,St Albans,,,4.3,81,,40.4,,,,,,nearest,0.13
9774418624,node,Scwabs Galley,cafe,,-37.8630553,144.903892,165 Nelson Place,Williamstown,,,4,168,,43,,,,,,osm,0.0
9774418665,node,Souv N Brew,restaurant,greek,-37.8632163,144.904387,149 Nelson Place,Williamstown,,,4.1,204,,44.4,,,,,,osm,0.0
9774418702,node,Sangam Tandoori,restaurant,indian,-37.8633763,144.9048649,135 Nelson Place,Williamstown,https://www.sangamtandoori.com.au/,17:00-22:00,4.3,322,,47.6,,,,,,osm,0.0
9774418708,node,Cafe Cirino,cafe,,-37.8633945,144.9049237,133 Nelson Place,Williamstown,,,4.2,394,,48.2,,,,,,osm,0.0
9776415851,node,Wat The Pho,restaurant,asian,-37.7110564,144.7423404,,Taylors Hill,https://www.watthepho.com.au,"Mo-Su 11:00-15:00, 16:00-21:00",3.9,185,,43.1,,,,,,nearest,0.059
9776415859,node,Art de Cafe,cafe,breakfast;burger;cake;brunch,-37.7112812,144.7417342,127 Gourlay Road,Taylors Hill,https://artdecafeonline.com.au,Mo-Fr 06:30-16:30; Sa 07:00-16:00; Su 07:30-16:00,3.9,254,,44.7,,,,,,osm,0.0
9778592830,node,Honour Fish & Chips,restaurant,fish_and_chips;burger;souvlaki,-37.8950161,144.6223293,,Werribee,,,3.8,198,,43,,,,,,nearest,3.134
